Year;pueSE.Comm.4RST;nueSE.MPO.ngsl;pueSE.MPO.ngsl;nueSE.MPO.sgsl;pueSE.MPO.sgsl;nueSE.PSM.ngsl;pueSE.PSM.ngsl;nueSE.PSM.sgsl;pueSE.PSM.sgsl;nueSE85.MPO.ngsl;pueSE85.MPO.ngsl;nueSE85.MPO.sgsl;pueSE85.MPO.sgsl;nueSE85.PSM.ngsl;pueSE85.PSM.ngsl;MoyPUE85.MPO.PSM.
1995;;0.0000118168640974157;0.000174688181576539;0.0000389846489848018;0.000190463711824209;0.0000134715147053356;0.000689299642606336;;;2.33431811813878E-06;0.000151500507733707;;;2.18412075568413E-06;0.000689299642606336;0.000420400075170021
1996;;5.58052280376531E-06;0.000193296146254625;0.0000147164191520829;0.000600884455074368;2.21844025109238E-06;0.000456767710898984;;;8.73677715543808E-07;0.000164171856919011;4.44435648050562E-06;0.000547589161963095;5.03717412867693E-07;0.000456767710898984;0.000389509576593697
1997;;0.0000342359894916173;0.0137708665551143;3.64463528170291E-06;0.0000543913971161118;3.52169562154579E-06;0.0000283170043684897;;;0.0000106098021560638;0.0136779342409554;1.90813890150607E-07;0.0000230884807082234;;0.0000283170043684897;0.00457644657534404
1998;;0.0000120522390577401;0.000436087650787179;0.0000540671968887954;0.000841892176199336;3.8802889819791E-07;5.78678948193548E-06;;;2.79448131173986E-06;0.000191918028708705;3.28130466746827E-06;0.000189528157592967;;5.78678948193548E-06;0.000129077658594536
1999;;0.0000200918205686404;0.000225662889049101;0.000021007557406684;0.000735560536599598;7.67622406979845E-06;0.00017618083883497;;;1.71277551829735E-06;0.000104194801525552;6.44921959077088E-06;0.000390996195780681;5.19389768863736E-06;0.00017618083883497;0.000223790612047068
2000;;0.0000040473225980245;0.000316042750076298;0.000214084512894842;0.00126073001647425;4.27749548644276E-06;0.000388171000361932;;;7.25451661289738E-07;0.000267554845547632;3.59994674162464E-06;0.000108898388934145;1.54813972147615E-06;0.000388171000361932;0.000254874744947903
2001;;0.0000120415128683776;0.000741928646134588;0.000460357294739486;0.00669866241152246;2.61609716588574E-06;0.000761051525698257;;;1.29952885291603E-06;0.00068128551419247;0.0000131166436458916;0.0043156695183649;7.04784538183789E-07;0.000761051525698257;0.00191933551941854
2002;;0.0000314378314642965;0.000716726934650807;0.00218557667938361;0.00999669599660699;0.0000137894120975462;0.000106010920328072;;;9.95911286552825E-07;0.000128508596620201;0.0000182269041480596;0.00363970059095281;6.83530195251212E-07;0.000106010920328072;0.00129140670263369
2003;5.53127777108985;0.0000737822625355;0.00184894829752986;;;0.0000119876787760337;0.0000438724494248666;;;9.99469488921243E-06;0.00165603340659551;;;6.6072189079052E-07;0.0000438724494248666;0.000849952928010188
2004;4.35511602973419;0.000117197199931089;0.00300836368289888;0.000393431670151865;0.00351885348508581;0.0000247370718517123;0.00166624651390523;0.0000241957663476333;0.000154057549720808;2.36130939582581E-06;0.00126001830670661;4.58529174975854E-06;0.000742424232238105;1.95178479742453E-06;0.00166624651390523;0.00122289635094998
2005;8.91210753077602;0.0000777608917362311;0.00154416756084346;0.000242801813403456;0.00216151298149837;0.0000423009258498927;0.00128149714745881;0.000159798794379048;0.00144309289689839;6.97192046874665E-06;0.000557675816090567;5.89678496320856E-06;0.000808356612387525;2.02860792734787E-06;0.00128149714745881;0.000882509858645634
2006;8.40068030844846;0.000299231365368024;0.00477558927057387;0.000427951535041124;0.00659339030892046;0.0000744602414948746;0.000863627838052256;0.0000673139770662019;0.00330280070216874;0.000020034390672244;0.00321745202419966;0.0000397725885014106;0.00108878413488551;6.56114234088541E-06;0.000863627838052256;0.00172328799904581
2007;13.2708081339117;0.000481645065412092;0.0155810732649655;0.00201779773977924;0.0179946925467918;0.0000480656067411915;0.00177160136802443;0.000041969024850239;0.000969962513014706;0.0000177582868747208;0.012704860350029;0.0000572619585531686;0.00136606116840278;3.88856569787654E-06;0.00177160136802443;0.00528084096215207
2008;12.7291670643505;0.000362825193323898;0.0483056806804284;0.000350039821621063;0.00343252462054355;0.0000389954196751763;0.00163278922448309;0.0000994941456055545;0.00551716391889998;0.0000837466385026055;0.0456257150795921;0.0000122408958099671;0.000561135312642005;7.91249606681582E-06;0.00163278922448309;0.0159398798722391
2009;17.4961881714832;0.00023047006881751;0.0330587976920057;0.000620941140014358;0.0041672709354901;0.0000765987458010813;0.00295854009307999;0.00123690462562641;0.00280062707876299;0.000070334807347373;0.0306201663832091;0.0000179496920444044;0.00189524343669311;0.0000101374714033847;0.00295854009307999;0.0118246499709941
2010;14.2832317764112;0.000356387940223218;0.0405644727167742;0.000916671600454585;0.0181891875591803;0.0000686952903335417;0.00174079794569209;0.000262036911608816;0.0377990254684615;0.0000678866532179437;0.0345188978440105;0.0000413372083305822;0.0012157092859605;0.0000240041507764879;0.00174079794569209;0.0124918016918877
2011;12.239681823948;0.000649315540272067;0.0487158138894366;0.00196320932339561;0.376866974864614;0.0000462668019232917;0.00349290534225456;0.000156646800192518;0.00336519160221685;0.000280073527006405;0.0376321676813945;0.000295124511340133;0.197834466717239;0.0000131684849807355;0.00349290534225456;0.0796531799136293
2012;13.8002355977755;0.000198588389317274;0.0171337101903567;0.00405457656653472;0.0745449599853137;0.0000289272662274888;0.00186625137886074;0.0000616298542674759;0.0044798276343456;0.0000471824413647248;0.015308574372922;0.000151634088092144;0.0112199374287104;7.35976334848116E-06;0.00186625137886074;0.00946492106016438
2013;22.3157578736668;0.000376791021053819;0.0125509251465829;0.00115916627623824;0.0881239462870784;0.000110346793462424;0.00284235336728792;0.0000670629578079997;0.00105575077430469;0.000040757119178998;0.0083737655441033;0.0000381660753528763;0.032898584539294;0.0000133508966955988;0.00284235336728792;0.0147049011502284
2014;21.8667971497092;0.00385908341835752;0.060422406650671;0.00088401005115067;0.0159740542792142;0.000306071199662049;0.00434239208670661;0.000289358696231446;0.00245007038062953;0.0000988812538457603;0.0369260085234485;0.0000620716005151616;0.013220388941382;0.0000159629812570675;0.00434239208670661;0.0181629298505124
2015;15.9145534736112;0.00079259398284837;0.110200022198213;0.000821548039310851;0.0647975490064958;0.0000735734139109319;0.00901211278157421;0.000377792119524214;0.00681531693809026;0.0000678843898536573;0.0953892840998096;0.000146909514162996;0.0489444640821489;0.00002842178913439;0.00901211278157421;0.0511152869878442
2016;15.3045313872;0.00139921154460121;0.0874610821778951;0.00353364424476981;0.14166894916458;0.0000728866771481859;0.00490379247063015;0.000278394514410556;0.0705095404771618;0.000142706913202386;0.0841017030236319;0.000279468129671255;0.0994151201106135;0.0000255483676293199;0.00490379247063015;0.0628068718682919
2017;17.1199092946796;0.00126125577747928;0.0704016569552803;0.0018513221706403;0.0805613670217176;0.000179528624422642;0.0423980112196829;0.0000495823615260342;0.0325398362767126;0.000114665534377103;0.0548262655965691;0.000276633892267691;0.0370272325430265;0.000109359807953433;0.0423980112196829;0.0447505031197595
2018;25.0745944205985;0.00115400275104044;0.0783135059181192;0.00235324941067482;0.10917010109783;0.0000966944401633324;0.00679460515763266;0.0000437304841168858;0.00777023040398361;0.000294700111136254;0.0605207371322693;0.000112740330789137;0.0520416565554114;0.0000603317254389504;0.00679460515763266;0.0397856662817711
2019;17.9523491624434;0.000540806800896134;0.0665107828513963;0.00154853702574058;0.137145055832237;0.0000491303125837169;0.0122291118862936;0.000637703334268815;0.033206069434986;0.000204257377872761;0.0583779362299552;0.000288104548613967;0.0652935401292967;0.000027093620590954;0.0122291118862936;0.0453001960818485
2020;27.5990920258929;0.000632;0.087939023;;0.3737760531861;;0.00950846925796723;;0.033206069434986;;0.0730096344330914;;0.0646012277525875;;0.00950846925796723;0.049039777147882
