"Year","Length","number","Weight.g","total.Weight.kg"
1997,23,1,4.38863521192963,0.00438863521192963
1997,25,5,4.50534136407567,0.0225267068203784
1997,26,8,4.56023714474943,0.0364818971579955
1997,27,17,4.61306088508799,0.0784220350464958
1997,28,37,4.66396333069685,0.172566643235783
1997,29,37,4.71307935233531,0.174383936036406
1997,30,87,4.76053009954673,0.414166118660566
1997,31,147,4.80642480102724,0.706544445751004
1997,32,182,4.85086227906449,0.882856934789737
1997,33,229,4.89393223086613,1.12071048086834
1997,34,310,4.93571631855271,1.53007205875134
1997,35,356,4.97628910110889,1.77155891999477
1997,36,363,5.01571883501779,1.82070593711146
1997,37,422,5.05406816517501,2.13281676570385
1997,38,404,5.09139472364564,2.05692346835284
1997,39,315,5.12775165063253,1.61524176994925
1997,40,260,5.16318804947653,1.3424288928639
1997,41,225,5.19774938546564,1.16949361172977
1997,42,171,5.23147783657995,0.894582710055171
1997,43,151,5.26441260296031,0.794926303047007
1997,44,109,5.29659018079593,0.577328329706757
1997,45,84,5.32804460542983,0.447555746856106
1997,46,74,5.35880766774253,0.396551767412947
1997,47,66,5.38890910726304,0.355668001079361
1997,48,47,5.41837678494759,0.254663708892537
1997,49,32,5.44723683814211,0.174311578820547
1997,50,23,5.47551381988857,0.125936817857437
1997,51,12,5.50323082443581,0.0660387698932297
1997,52,5,5.53040960056233,0.0276520480028116
1997,53,13,5.55707065410451,0.0722419185033587
1997,54,5,5.58323334090089,0.0279161667045044
1997,55,2,5.60891595120797,0.0112178319024159
1997,56,2,5.63413578650975,0.0112682715730195
1997,57,1,5.65890922952874,0.00565890922952874
1997,58,1,5.6832518081482,0.0056832518081482
1997,59,2,5.70717825387006,0.0114143565077401
1998,25,1,4.50534136407567,0.00450534136407567
1998,28,1,4.66396333069685,0.00466396333069685
1998,29,5,4.71307935233531,0.0235653967616765
1998,30,8,4.76053009954673,0.0380842407963739
1998,31,24,4.80642480102724,0.115354195224654
1998,32,47,4.85086227906449,0.227990527116031
1998,33,59,4.89393223086613,0.288742001621102
1998,34,93,4.93571631855271,0.459021617625402
1998,35,135,4.97628910110889,0.6717990286497
1998,36,159,5.01571883501779,0.797499294767829
1998,37,145,5.05406816517501,0.732839883950376
1998,38,161,5.09139472364564,0.819714550506948
1998,39,154,5.12775165063253,0.78967375419741
1998,40,124,5.16318804947653,0.64023531813509
1998,41,98,5.19774938546564,0.509379439775633
1998,42,70,5.23147783657995,0.366203448560596
1998,43,51,5.26441260296031,0.268485042750976
1998,44,52,5.29659018079593,0.275422689401389
1998,45,36,5.32804460542983,0.191809605795474
1998,46,29,5.35880766774253,0.155405422364533
1998,47,18,5.38890910726304,0.0970003639307347
1998,48,18,5.41837678494759,0.0975307821290567
1998,49,11,5.44723683814211,0.0599196052195632
1998,50,9,5.47551381988857,0.0492796243789972
1998,51,7,5.50323082443581,0.0385226157710506
1998,52,2,5.53040960056233,0.0110608192011247
1998,53,3,5.55707065410451,0.0166712119623135
1998,55,1,5.60891595120797,0.00560891595120797
1999,22,1,4.32641772498304,0.00432641772498304
1999,24,2,4.44820432913469,0.00889640865826938
1999,25,3,4.50534136407567,0.013516024092227
1999,26,11,4.56023714474943,0.0501626085922438
1999,27,5,4.61306088508799,0.02306530442544
1999,28,15,4.66396333069685,0.0699594499604528
1999,29,22,4.71307935233531,0.103687745751377
1999,30,53,4.76053009954673,0.252308095275977
1999,31,108,4.80642480102724,0.519093878510941
1999,32,197,4.85086227906449,0.955619868975705
1999,33,243,4.89393223086613,1.18922553210047
1999,34,349,4.93571631855271,1.7225649951749
1999,35,374,4.97628910110889,1.86113212381472
1999,36,440,5.01571883501779,2.20691628740783
1999,37,454,5.05406816517501,2.29454694698945
1999,38,355,5.09139472364564,1.8074451268942
1999,39,284,5.12775165063253,1.45628146877964
1999,40,220,5.16318804947653,1.13590137088484
1999,41,177,5.19774938546564,0.920001641227419
1999,42,135,5.23147783657995,0.706249507938293
1999,43,81,5.26441260296031,0.426417420839785
1999,44,76,5.29659018079593,0.402540853740491
1999,45,53,5.32804460542983,0.282386364087781
1999,46,43,5.35880766774253,0.230428729712929
1999,47,23,5.38890910726304,0.12394490946705
1999,48,15,5.41837678494759,0.0812756517742139
1999,49,16,5.44723683814211,0.0871557894102737
1999,50,9,5.47551381988857,0.0492796243789972
1999,51,10,5.50323082443581,0.0550323082443581
1999,52,4,5.53040960056233,0.0221216384022493
1999,53,5,5.55707065410451,0.0277853532705226
1999,57,1,5.65890922952874,0.00565890922952874
2000,25,2,4.50534136407567,0.00901068272815135
2000,26,1,4.56023714474943,0.00456023714474943
2000,27,6,4.61306088508799,0.0276783653105279
2000,28,12,4.66396333069685,0.0559675599683622
2000,29,23,4.71307935233531,0.108400825103712
2000,30,46,4.76053009954673,0.21898438457915
2000,31,41,4.80642480102724,0.197063416842117
2000,32,66,4.85086227906449,0.320156910418256
2000,33,87,4.89393223086613,0.425772104085354
2000,34,113,4.93571631855271,0.557735943996456
2000,35,190,4.97628910110889,0.945494929210689
2000,36,229,5.01571883501779,1.14859961321907
2000,37,298,5.05406816517501,1.50611231322215
2000,38,255,5.09139472364564,1.29830565452964
2000,39,265,5.12775165063253,1.35885418741762
2000,40,230,5.16318804947653,1.1875332513796
2000,41,173,5.19774938546564,0.899210643685556
2000,42,149,5.23147783657995,0.779490197650412
2000,43,103,5.26441260296031,0.542234498104912
2000,44,74,5.29659018079593,0.391947673378899
2000,45,49,5.32804460542983,0.261074185666062
2000,46,42,5.35880766774253,0.225069922045186
2000,47,27,5.38890910726304,0.145500545896102
2000,48,16,5.41837678494759,0.0866940285591615
2000,49,14,5.44723683814211,0.0762613157339895
2000,50,6,5.47551381988857,0.0328530829193314
2000,51,4,5.50323082443581,0.0220129232977432
2000,52,5,5.53040960056233,0.0276520480028116
2000,53,3,5.55707065410451,0.0166712119623135
2000,54,1,5.58323334090089,0.00558323334090089
2000,55,2,5.60891595120797,0.0112178319024159
2000,62,1,5.77659725684013,0.00577659725684013
2001,13,1,3.59006468893653,0.00359006468893653
2001,14,1,3.69379087488395,0.00369379087488395
2001,16,1,3.88068982325159,0.00388068982325159
2001,20,4,4.19301559366363,0.0167720623746545
2001,21,17,4.26130538076705,0.0724421914730399
2001,22,20,4.32641772498304,0.0865283544996607
2001,23,21,4.38863521192963,0.0921613394505223
2001,24,34,4.44820432913469,0.15123894719058
2001,25,15,4.50534136407567,0.0675801204611351
2001,26,24,4.56023714474943,0.109445691473986
2001,27,22,4.61306088508799,0.101487339471936
2001,28,14,4.66396333069685,0.0652954866297559
2001,29,17,4.71307935233531,0.0801223489897002
2001,30,38,4.76053009954673,0.180900143782776
2001,31,58,4.80642480102724,0.27877263845958
2001,32,64,4.85086227906449,0.310455185860127
2001,33,109,4.89393223086613,0.533438613164409
2001,34,134,4.93571631855271,0.661385986686063
2001,35,220,4.97628910110889,1.09478360224396
2001,36,230,5.01571883501779,1.15361533205409
2001,37,228,5.05406816517501,1.1523275416599
2001,38,236,5.09139472364564,1.20156915478037
2001,39,193,5.12775165063253,0.989656068572078
2001,40,142,5.16318804947653,0.733172703025668
2001,41,135,5.19774938546564,0.701696167037862
2001,42,101,5.23147783657995,0.528379261494575
2001,43,60,5.26441260296031,0.315864756177619
2001,44,61,5.29659018079593,0.323092001028552
2001,45,37,5.32804460542983,0.197137650400904
2001,46,23,5.35880766774253,0.123252576358078
2001,47,18,5.38890910726304,0.0970003639307347
2001,48,7,5.41837678494759,0.0379286374946331
2001,49,5,5.44723683814211,0.0272361841907105
2001,50,6,5.47551381988857,0.0328530829193314
2001,51,3,5.50323082443581,0.0165096924733074
2001,52,3,5.53040960056233,0.016591228801687
2001,53,4,5.55707065410451,0.0222282826164181
2001,54,5,5.58323334090089,0.0279161667045044
2001,56,1,5.63413578650975,0.00563413578650975
2001,57,1,5.65890922952874,0.00565890922952874
2002,23,1,4.38863521192963,0.00438863521192963
2002,24,3,4.44820432913469,0.0133446129874041
2002,25,3,4.50534136407567,0.013516024092227
2002,26,8,4.56023714474943,0.0364818971579955
2002,27,15,4.61306088508799,0.0691959132763199
2002,28,34,4.66396333069685,0.158574753243693
2002,29,42,4.71307935233531,0.197949332798083
2002,30,60,4.76053009954673,0.285631805972804
2002,31,84,4.80642480102724,0.403739683286288
2002,32,92,4.85086227906449,0.446279329673933
2002,33,101,4.89393223086613,0.49428715531748
2002,34,83,4.93571631855271,0.409664454439875
2002,35,125,4.97628910110889,0.622036137638611
2002,36,86,5.01571883501779,0.43135181981153
2002,37,87,5.05406816517501,0.439703930370226
2002,38,70,5.09139472364564,0.356397630655195
2002,39,56,5.12775165063253,0.287154092435422
2002,40,58,5.16318804947653,0.299464906869639
2002,41,58,5.19774938546564,0.301469464357007
2002,42,49,5.23147783657995,0.256342413992418
2002,43,40,5.26441260296031,0.210576504118412
2002,44,37,5.29659018079593,0.19597383668945
2002,45,32,5.32804460542983,0.170497427373755
2002,46,29,5.35880766774253,0.155405422364533
